idescuela,idplantel,ccts,escuela,idcodigo,cv_cct,
6083,07INM_18625,07DCC1060F,MARIA ENRIQUETA CAMARILLO DE PEREYRA,1505,07DCC1060F,
6084,07INM_18626,07DPB0820V,ALFONSO CASO,1505,07DPB0820V,
6085,07INM_18669,07KPR3803J/07KJN2622C,PRIMARIA CONAFE,144110,07KPR3803J,
6086,07INM_18670,07KJN0069P,PREESCOLAR CONAFE,144110,07KJN0069P,
6087,07INM_18671,07KPR3804I,PRIMARIA CONAFE,144110,07KPR3804I,
6088,07INM_18618,07KPR1386Z,PRIMARIA CONAFE,144110,07KPR1386Z,
6089,07INM_18527,07DCC2057Z,JUAN ESCUTIA Y MARTINEZ,144110,07DCC2057Z,
6090,07INM_18528,07DPB1282U,FRAY PEDRO DE GANTE,144110,07DPB1282U,
6091,07INM_18599,07KPR2085K,PRIMARIA CONAFE,144110,07KPR2085K,
6092,07INM_18522,07KPR0129D,PRIMARIA CONAFE,144110,07KPR0129D,
6093,07INM_18534,07KPR1423N,PRIMARIA CONAFE,144110,07KPR1423N,
6094,07INM_18535,07KJN4771Y,PREESCOLAR CONAFE,144110,07KJN4771Y,
6095,07INM_18532,07DCC1749C,SOR JUANA INES DE LA CRUZ,144110,07DCC1749C,
6096,07INM_18533,07DPB1997P,MANUEL AVILA CAMACHO,144110,07DPB1997P,
6097,07INM_18536,07DCC0096N,EMILIANO ZAPATA SALAZAR,144110,07DCC0096N,
6098,07INM_18537,07DPB0246I,BENITO JUAREZ GARCIA,144110,07DPB0246I,
6099,07INM_18432,07DJN0779F,FRANCISCO PEDRO SHUBERT,144110,07DJN0779F,
6100,07INM_18433,07DPR0130J,EMILIANO ZAPATA SALAZAR,144110,07DPR0130J,
6101,07INM_18434,07ETV0385I,"TELESECUNDARIA      151      LIBERTADORES      DE
AMERICA",144110,,
6102,07INM_18675,07KJN4772X,PREESCOLAR CONAFE,1498,07KJN1746E,
6103,07INM_18542,07DCC1332G,JOSE JOAQUIN FERNANDEZ DE LIZARDI,1511,07DCC1332G,
6104,07INM_18544,07ETV0438X,TELESECUNDARIA 252,1509,07ETV0438X,
6105,07INM_18549,07KPR1071A,PRIMARIA CONAFE,144110,07KPR1071A,
6106,07INM_18677,07KPR1848S,PRIMARIA CONAFE,144110,07KPR1848S,
6107,07INM_18634,07DCC1808B,MELCHOR OCAMPO,144110,07DCC1808B,
6108,07INM_18667,07KJN3380C/07KPR0694Z,PREESCOLAR CONAFE,144110,07KJN3380C,
6109,07INM_18668,07KTV0266F,SECUNDARIA COMUNITARIA,144110,07KTV0266F,
6110,07INM_18627,07EPB0366U,"PRIMARIA    COMUNITARIA    JOSE    GUADALUPE
POSADA",144110,,
6111,07INM_18658,07DCC0563R,GABRIELA MISTRAL,144110,07DCC0563R,
6112,07INM_18659,07DPB2974L,AMADO NERVO,144110,07DPB2974L,
6113,07INM_18681,07DPB3266Q,REVOLUCION MEXICANA,144110,07DPB3266Q,
6114,07INM_18637,07KPR5150O,PRIMARIA CONAFE,144110,07KPR0249Q,
6115,07INM_18639,07DCC1061E,JOSE MARIA PINO SUAREZ,144110,07DCC1061E,
6116,07INM_18640,07DPB0159N,LA CORREGIDORA,144110,07DPB0159N,
6117,07INM_18481,07DJN2015P,JOSE MARIANO ABASOLO,144110,07DJN2015P,
6118,07INM_18665,07KPR3737A,PRIMARIA CONAFE,144110,07KPR3737A,
6119,07INM_18666,07KJN0163U,PREESCOLAR CONAFE,144110,07KJN0163U,
6120,07INM_18623,07KPR3890V,PRIMARIA CONAFE,144110,07KPR3890V,
6121,07INM_18636,07KPR5943X,PRIMARIA CONAFE,144110,07KPR2175C,
6122,07INM_18683,07KPR3895Q,PRIMARIA CONAFE,144110,07KPR3895Q,
6123,07INM_18458,07ETV1046Q,TELESECUNDARIA 976,1510,07ETV1046Q,
6124,07INM_18459,07DCC0411M,LIC. BENITO JUAREZ GARCIA,1510,07DCC0411M,
6125,07INM_18491,07DCC1331H,BELISARIO DOMINGUEZ PALENCIA,1494,07DCC1331H,
6126,07INM_18563,07ETV1066D,TELESECUNDARIA 1043,144110,07ETV1066D,
6127,07INM_18565,07DCC0300H,IGNACIO ZARAGOZA,144110,07DCC0300H,
6128,07INM_18641,07ETV0815I,TELESECUNDARIA 798,144110,07ETV0815I,
